"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 00:17:30 UTC 2023","Mon Dec 18 00:17:32 UTC 2023","2086","","Notifications handling check","","","","Verify displayed message for no notifications",""
"passed","Mon Dec 18 00:17:33 UTC 2023","Mon Dec 18 00:17:35 UTC 2023","1630","","Login functionality check","","","","Login with valid credentials",""
"passed","Mon Dec 18 00:17:46 UTC 2023","Mon Dec 18 00:17:48 UTC 2023","2479","","Registration functionality check","","","","Register with valid credentials",""
"passed","Mon Dec 18 00:18:03 UTC 2023","Mon Dec 18 00:18:04 UTC 2023","1200","","Transaction social interactions check","","","","""before each"" hook for Transaction social interactions check",""
"failed","Mon Dec 18 00:17:04 UTC 2023","Mon Dec 18 00:17:21 UTC 2023","17211","","Bank account operations check","","","","Create a bank account",""
"passed","Mon Dec 18 00:17:42 UTC 2023","Mon Dec 18 00:17:42 UTC 2023","84","","Payment transaction operations check","","","","Verify sending a payment",""
"failed","Mon Dec 18 00:18:12 UTC 2023","Mon Dec 18 00:18:15 UTC 2023","2213","","Account settings update check","","","","Update user settings with blank values",""
"passed","Mon Dec 18 00:17:35 UTC 2023","Mon Dec 18 00:17:35 UTC 2023","937","","Login functionality check","","","","Login with non-existing username",""
"passed","Mon Dec 18 00:18:00 UTC 2023","Mon Dec 18 00:18:00 UTC 2023","32","","Request transaction operations check","","","","""after each"" hook for Request transaction operations check",""
"passed","Mon Dec 18 00:18:15 UTC 2023","Mon Dec 18 00:18:15 UTC 2023","40","","Account settings update check","","","","""after each"" hook for Account settings update check",""
"passed","Mon Dec 18 00:17:21 UTC 2023","Mon Dec 18 00:17:23 UTC 2023","1548","","Bank account operations check","","","","Delete a bank account",""
"passed","Mon Dec 18 00:17:24 UTC 2023","Mon Dec 18 00:17:26 UTC 2023","2277","","Transactions filtering check","","","","Filter by amount range",""
"passed","Mon Dec 18 00:17:21 UTC 2023","Mon Dec 18 00:17:23 UTC 2023","1414","","Bank account operations check","","","","""before each"" hook for Bank account operations check",""
"passed","Mon Dec 18 00:17:46 UTC 2023","Mon Dec 18 00:17:46 UTC 2023","527","","Registration functionality check","","","","""before each"" hook for Registration functionality check",""
"passed","Mon Dec 18 00:17:50 UTC 2023","Mon Dec 18 00:17:52 UTC 2023","2073","","Request transaction operations check","","","","Verify requesting the payment",""
"passed","Mon Dec 18 00:18:01 UTC 2023","Mon Dec 18 00:18:03 UTC 2023","1529","","Transaction social interactions check","","","","Like a transaction",""
"broken","Mon Dec 18 00:18:05 UTC 2023","Mon Dec 18 00:18:12 UTC 2023","6974","","Account settings update check","","","","Update user settings",""
"passed","Mon Dec 18 00:18:03 UTC 2023","Mon Dec 18 00:18:04 UTC 2023","1457","","Transaction social interactions check","","","","Comment on a transaction",""
"passed","Mon Dec 18 00:17:56 UTC 2023","Mon Dec 18 00:17:58 UTC 2023","1642","","Request transaction operations check","","","","""before each"" hook for Request transaction operations check",""
"passed","Mon Dec 18 00:17:40 UTC 2023","Mon Dec 18 00:17:42 UTC 2023","2209","","Payment transaction operations check","","","","""before all"" hook for Payment transaction operations check",""
"passed","Mon Dec 18 00:17:42 UTC 2023","Mon Dec 18 00:17:43 UTC 2023","916","","Payment transaction operations check","","","","Verify notification sent to the payment receiver",""
"passed","Mon Dec 18 00:17:28 UTC 2023","Mon Dec 18 00:17:29 UTC 2023","1921","","Notifications handling check","","","","Dismiss a notification",""
"passed","Mon Dec 18 00:17:37 UTC 2023","Mon Dec 18 00:17:38 UTC 2023","1628","","Logout functionality check","","","","Logout",""
"passed","Mon Dec 18 00:18:04 UTC 2023","Mon Dec 18 00:18:04 UTC 2023","32","","Transaction social interactions check","","","","""after each"" hook for Transaction social interactions check",""
"passed","Mon Dec 18 00:17:32 UTC 2023","Mon Dec 18 00:17:32 UTC 2023","32","","Notifications handling check","","","","""after each"" hook for Notifications handling check",""
"passed","Mon Dec 18 00:17:30 UTC 2023","Mon Dec 18 00:17:31 UTC 2023","1413","","Notifications handling check","","","","""before each"" hook for Notifications handling check",""
"passed","Mon Dec 18 00:17:44 UTC 2023","Mon Dec 18 00:17:46 UTC 2023","1744","","Registration functionality check","","","","Register with non-matching passwords",""
"passed","Mon Dec 18 00:17:23 UTC 2023","Mon Dec 18 00:17:23 UTC 2023","34","","Bank account operations check","","","","""after each"" hook for Bank account operations check",""
"passed","Mon Dec 18 00:17:52 UTC 2023","Mon Dec 18 00:17:56 UTC 2023","4490","","Request transaction operations check","","","","Verify balance change after accepting request",""
"passed","Mon Dec 18 00:17:35 UTC 2023","Mon Dec 18 00:17:35 UTC 2023","629","","Login functionality check","","","","""before each"" hook for Login functionality check",""
"passed","Mon Dec 18 00:17:42 UTC 2023","Mon Dec 18 00:17:42 UTC 2023","17","","Payment transaction operations check","","","","Verify account balance update after sending a payment",""
"failed","Mon Dec 18 00:17:56 UTC 2023","Mon Dec 18 00:18:00 UTC 2023","3554","","Request transaction operations check","","","","Verify balance after rejecting request",""
"passed","Mon Dec 18 00:18:12 UTC 2023","Mon Dec 18 00:18:14 UTC 2023","1465","","Account settings update check","","","","""before each"" hook for Account settings update check",""
