"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 17 21:12:41 UTC 2023","Sun Dec 17 21:12:51 UTC 2023","10020","","Notifications handling check","","","","""after each"" hook for Notifications handling check",""
"broken","Sun Dec 17 21:12:40 UTC 2023","Sun Dec 17 21:12:41 UTC 2023","1367","","Notifications handling check","","","","Dismiss a notification",""
"broken","Sun Dec 17 21:13:29 UTC 2023","Sun Dec 17 21:13:39 UTC 2023","10020","","Account settings update check","","","","""after each"" hook for Account settings update check",""
"broken","Sun Dec 17 21:13:15 UTC 2023","Sun Dec 17 21:13:16 UTC 2023","1369","","Transaction social interactions check","","","","""before each"" hook for Transaction social interactions check",""
"broken","Sun Dec 17 21:13:00 UTC 2023","Sun Dec 17 21:13:01 UTC 2023","1365","","Registration functionality check","","","","""before each"" hook for Registration functionality check",""
"broken","Sun Dec 17 21:13:15 UTC 2023","Sun Dec 17 21:13:16 UTC 2023","1370","","Transaction social interactions check","","","","Like a transaction",""
"broken","Sun Dec 17 21:12:57 UTC 2023","Sun Dec 17 21:12:59 UTC 2023","1369","","Payment transaction operations check","","","","""before all"" hook for Payment transaction operations check",""
"broken","Sun Dec 17 21:12:25 UTC 2023","Sun Dec 17 21:12:26 UTC 2023","1363","","Bank account operations check","","","","""before each"" hook for Bank account operations check",""
"broken","Sun Dec 17 21:12:25 UTC 2023","Sun Dec 17 21:12:26 UTC 2023","1365","","Bank account operations check","","","","Create a bank account",""
"broken","Sun Dec 17 21:12:52 UTC 2023","Sun Dec 17 21:12:54 UTC 2023","1366","","Login functionality check","","","","""before each"" hook for Login functionality check",""
"broken","Sun Dec 17 21:12:37 UTC 2023","Sun Dec 17 21:12:39 UTC 2023","1372","","Transactions filtering check","","","","Filter by amount range",""
"broken","Sun Dec 17 21:13:02 UTC 2023","Sun Dec 17 21:13:04 UTC 2023","1366","","Request transaction operations check","","","","""before each"" hook for Request transaction operations check",""
"broken","Sun Dec 17 21:13:04 UTC 2023","Sun Dec 17 21:13:14 UTC 2023","10020","","Request transaction operations check","","","","""after each"" hook for Request transaction operations check",""
"broken","Sun Dec 17 21:12:40 UTC 2023","Sun Dec 17 21:12:41 UTC 2023","1365","","Notifications handling check","","","","""before each"" hook for Notifications handling check",""
"broken","Sun Dec 17 21:13:16 UTC 2023","Sun Dec 17 21:13:26 UTC 2023","10019","","Transaction social interactions check","","","","""after each"" hook for Transaction social interactions check",""
"broken","Sun Dec 17 21:13:00 UTC 2023","Sun Dec 17 21:13:01 UTC 2023","1367","","Registration functionality check","","","","Register with non-matching passwords",""
"broken","Sun Dec 17 21:13:27 UTC 2023","Sun Dec 17 21:13:29 UTC 2023","1372","","Account settings update check","","","","""before each"" hook for Account settings update check",""
"broken","Sun Dec 17 21:12:52 UTC 2023","Sun Dec 17 21:12:54 UTC 2023","1367","","Login functionality check","","","","Login with valid credentials",""
"broken","Sun Dec 17 21:12:55 UTC 2023","Sun Dec 17 21:12:56 UTC 2023","1370","","Logout functionality check","","","","Logout",""
"broken","Sun Dec 17 21:13:02 UTC 2023","Sun Dec 17 21:13:04 UTC 2023","1367","","Request transaction operations check","","","","Verify requesting the payment",""
"broken","Sun Dec 17 21:12:26 UTC 2023","Sun Dec 17 21:12:36 UTC 2023","10028","","Bank account operations check","","","","""after each"" hook for Bank account operations check",""
"broken","Sun Dec 17 21:13:27 UTC 2023","Sun Dec 17 21:13:29 UTC 2023","1374","","Account settings update check","","","","Update user settings",""
