"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 03:17:52 UTC 2024","Mon Jan 15 03:17:54 UTC 2024","1654","","Request transaction operations check","","","","""before each"" hook for Request transaction operations check",""
"passed","Mon Jan 15 03:17:39 UTC 2024","Mon Jan 15 03:17:41 UTC 2024","1765","","Registration functionality check","","","","Register with non-matching passwords",""
"passed","Mon Jan 15 03:17:29 UTC 2024","Mon Jan 15 03:17:30 UTC 2024","823","","Login functionality check","","","","""before each"" hook for Login functionality check",""
"passed","Mon Jan 15 03:18:03 UTC 2024","Mon Jan 15 03:18:03 UTC 2024","34","","Transaction social interactions check","","","","""after each"" hook for Transaction social interactions check",""
"passed","Mon Jan 15 03:18:00 UTC 2024","Mon Jan 15 03:18:03 UTC 2024","2522","","Transaction social interactions check","","","","""before each"" hook for Transaction social interactions check",""
"passed","Mon Jan 15 03:17:22 UTC 2024","Mon Jan 15 03:17:25 UTC 2024","3045","","Notifications handling check","","","","""before each"" hook for Notifications handling check",""
"passed","Mon Jan 15 03:17:32 UTC 2024","Mon Jan 15 03:17:33 UTC 2024","1795","","Logout functionality check","","","","Logout",""
"passed","Mon Jan 15 03:17:27 UTC 2024","Mon Jan 15 03:17:29 UTC 2024","1782","","Login functionality check","","","","Login with valid credentials",""
"passed","Mon Jan 15 03:18:00 UTC 2024","Mon Jan 15 03:18:03 UTC 2024","2811","","Transaction social interactions check","","","","Comment on a transaction",""
"passed","Mon Jan 15 03:17:26 UTC 2024","Mon Jan 15 03:17:26 UTC 2024","36","","Notifications handling check","","","","""after each"" hook for Notifications handling check",""
"passed","Mon Jan 15 03:17:37 UTC 2024","Mon Jan 15 03:17:37 UTC 2024","78","","Payment transaction operations check","","","","Verify sending a payment",""
"passed","Mon Jan 15 03:17:57 UTC 2024","Mon Jan 15 03:18:00 UTC 2024","2976","","Transaction social interactions check","","","","Like a transaction",""
"passed","Mon Jan 15 03:17:37 UTC 2024","Mon Jan 15 03:17:38 UTC 2024","972","","Payment transaction operations check","","","","Verify notification sent to the payment receiver",""
"passed","Mon Jan 15 03:17:48 UTC 2024","Mon Jan 15 03:17:52 UTC 2024","4728","","Request transaction operations check","","","","Verify balance change after accepting request",""
"passed","Mon Jan 15 03:18:12 UTC 2024","Mon Jan 15 03:18:12 UTC 2024","40","","Account settings update check","","","","""after each"" hook for Account settings update check",""
"passed","Mon Jan 15 03:17:04 UTC 2024","Mon Jan 15 03:17:12 UTC 2024","7878","","Bank account operations check","","","","Create a bank account",""
"passed","Mon Jan 15 03:17:22 UTC 2024","Mon Jan 15 03:17:26 UTC 2024","3995","","Notifications handling check","","","","Verify displayed message for no notifications",""
"passed","Mon Jan 15 03:17:13 UTC 2024","Mon Jan 15 03:17:13 UTC 2024","35","","Bank account operations check","","","","""after each"" hook for Bank account operations check",""
"passed","Mon Jan 15 03:17:56 UTC 2024","Mon Jan 15 03:17:56 UTC 2024","36","","Request transaction operations check","","","","""after each"" hook for Request transaction operations check",""
"passed","Mon Jan 15 03:17:37 UTC 2024","Mon Jan 15 03:17:37 UTC 2024","16","","Payment transaction operations check","","","","Verify account balance update after sending a payment",""
"passed","Mon Jan 15 03:17:29 UTC 2024","Mon Jan 15 03:17:30 UTC 2024","1182","","Login functionality check","","","","Login with non-existing username",""
"passed","Mon Jan 15 03:17:12 UTC 2024","Mon Jan 15 03:17:13 UTC 2024","1147","","Bank account operations check","","","","""before each"" hook for Bank account operations check",""
"passed","Mon Jan 15 03:18:04 UTC 2024","Mon Jan 15 03:18:09 UTC 2024","4565","","Account settings update check","","","","Update user settings",""
"passed","Mon Jan 15 03:17:12 UTC 2024","Mon Jan 15 03:17:13 UTC 2024","1305","","Bank account operations check","","","","Delete a bank account",""
"passed","Mon Jan 15 03:17:35 UTC 2024","Mon Jan 15 03:17:37 UTC 2024","2162","","Payment transaction operations check","","","","""before all"" hook for Payment transaction operations check",""
"passed","Mon Jan 15 03:18:09 UTC 2024","Mon Jan 15 03:18:11 UTC 2024","1354","","Account settings update check","","","","""before each"" hook for Account settings update check",""
"failed","Mon Jan 15 03:17:52 UTC 2024","Mon Jan 15 03:17:56 UTC 2024","3597","","Request transaction operations check","","","","Verify balance after rejecting request",""
"passed","Mon Jan 15 03:17:41 UTC 2024","Mon Jan 15 03:17:42 UTC 2024","598","","Registration functionality check","","","","""before each"" hook for Registration functionality check",""
"passed","Mon Jan 15 03:17:45 UTC 2024","Mon Jan 15 03:17:47 UTC 2024","2244","","Request transaction operations check","","","","Verify requesting the payment",""
"passed","Mon Jan 15 03:17:18 UTC 2024","Mon Jan 15 03:17:22 UTC 2024","3446","","Notifications handling check","","","","Dismiss a notification",""
"passed","Mon Jan 15 03:18:09 UTC 2024","Mon Jan 15 03:18:12 UTC 2024","3050","","Account settings update check","","","","Update user settings with blank values",""
"passed","Mon Jan 15 03:17:14 UTC 2024","Mon Jan 15 03:17:17 UTC 2024","2500","","Transactions filtering check","","","","Filter by amount range",""
"passed","Mon Jan 15 03:17:41 UTC 2024","Mon Jan 15 03:17:44 UTC 2024","2681","","Registration functionality check","","","","Register with valid credentials",""
